time,value,value_max,value_min
01/11/2019 00:00,1.10130229,1.1453502,1.060368
01/11/2019 00:30,1.084652797,1.1394374,1.0273913
01/11/2019 01:00,0.998729212,1.0471722,0.9523542
01/11/2019 01:30,0.914547594,0.95873016,0.88010263
01/11/2019 02:00,0.875549749,0.90518296,0.8362232
01/11/2019 02:30,0.839708686,0.8853575,0.8090119
01/11/2019 03:00,0.768456717,0.82277495,0.73920614
01/11/2019 03:30,0.732171901,0.74955255,0.70402324
01/11/2019 04:00,0.723382165,0.7609136,0.6744504
01/11/2019 04:30,0.708362111,0.73961705,0.67573017
01/11/2019 05:00,0.724321032,0.76227885,0.6909255
01/11/2019 05:30,0.749228238,0.80779165,0.70714873
01/11/2019 06:00,0.849172575,0.8829969,0.79070145
01/11/2019 06:30,0.924648398,1.0012465,0.8568821
01/11/2019 07:00,0.958784071,1.0441281,0.884052
01/11/2019 07:30,0.947984873,1.0187173,0.88819486
01/11/2019 08:00,0.930037652,0.99828434,0.8529746
01/11/2019 08:30,0.891861704,0.9681329,0.8450349
01/11/2019 09:00,0.830405049,0.9066373,0.753069
01/11/2019 09:30,0.84564655,0.92757624,0.7809282
01/11/2019 10:00,0.779729202,0.8641779,0.67639005
01/11/2019 10:30,0.781484416,0.9053664,0.6907497
01/11/2019 11:00,0.530535953,0.7565855,0.14365998
01/11/2019 11:30,0.433004037,0.7396101,0.18504466
01/11/2019 12:00,0.648660248,0.84810024,0.46202496
01/11/2019 12:30,0.490497149,0.6375226,0.32419243
01/11/2019 13:00,0.771957693,0.86654085,0.69955087
01/11/2019 13:30,0.716530167,0.78415924,0.67722034
01/11/2019 14:00,0.726607274,0.8730921,0.49223033
01/11/2019 14:30,0.846717139,1.0024186,0.7056104
01/11/2019 15:00,0.862764195,0.95512515,0.7226461
01/11/2019 15:30,0.967651057,1.0904146,0.84266967
01/11/2019 16:00,1.19365234,1.2943639,1.0748905
01/11/2019 16:30,1.384436183,1.4896615,1.2787002
01/11/2019 17:00,1.582114613,1.6323396,1.5025692
01/11/2019 17:30,1.60542032,1.690185,1.54592
01/11/2019 18:00,1.602045267,1.6436055,1.5263462
01/11/2019 18:30,1.523530743,1.5600656,1.482475
01/11/2019 19:00,1.467490487,1.549037,1.389302
01/11/2019 19:30,1.403347927,1.444924,1.3307091
01/11/2019 20:00,1.31399494,1.3560629,1.2566733
01/11/2019 20:30,1.209849353,1.3137757,1.1415207
01/11/2019 21:00,1.104665257,1.1759197,1.0238831
01/11/2019 21:30,1.010149844,1.0929775,0.95542824
01/11/2019 22:00,0.956657713,0.995396,0.91200864
01/11/2019 22:30,0.89042238,0.9387172,0.8063705
01/11/2019 23:00,0.858519284,0.90807354,0.8182265
01/11/2019 23:30,0.845494238,0.94695455,0.8011145
02/11/2019 00:00,1.09358359,1.1512345,1.0524868
02/11/2019 00:30,1.081460677,1.1257852,1.0034502
02/11/2019 01:00,0.982989412,1.0589476,0.9423825
02/11/2019 01:30,0.896714331,0.9462032,0.84835804
02/11/2019 02:00,0.84177855,0.87347543,0.7967048
02/11/2019 02:30,0.781917876,0.8145898,0.74499834
02/11/2019 03:00,0.735806482,0.77726036,0.68263113
02/11/2019 03:30,0.697824455,0.72167516,0.67745787
02/11/2019 04:00,0.677728313,0.712874,0.64864653
02/11/2019 04:30,0.655562933,0.6932778,0.6230768
02/11/2019 05:00,0.691296343,0.72308916,0.66239387
02/11/2019 05:30,0.714527508,0.7563552,0.67957515
02/11/2019 06:00,0.780761349,0.8075792,0.74535227
02/11/2019 06:30,0.845807505,0.8953821,0.79770887
02/11/2019 07:00,0.858336102,0.9063472,0.803865
02/11/2019 07:30,0.944745222,1.0188987,0.8986575
02/11/2019 08:00,1.005325978,1.109603,0.89246315
02/11/2019 08:30,1.074579045,1.1205965,0.99657184
02/11/2019 09:00,0.881171418,1.0623962,0.57167685
02/11/2019 09:30,0.967018027,1.0900728,0.74345917
02/11/2019 10:00,0.7812056,0.97540903,0.37942827
02/11/2019 10:30,0.95170307,1.0295922,0.8795858
02/11/2019 11:00,0.655478421,0.9159235,-0.021478744
02/11/2019 11:30,0.675968594,0.9346908,0.51496655
02/11/2019 12:00,0.741087617,0.9179264,0.5272114
02/11/2019 12:30,0.514543718,0.7091827,0.31945264
02/11/2019 13:00,0.784515758,0.9223686,0.6144725
02/11/2019 13:30,0.811860957,0.9170136,0.680488
02/11/2019 14:00,0.744509747,0.8559681,0.5171066
02/11/2019 14:30,0.743079623,0.91261566,0.4493855
02/11/2019 15:00,0.944079909,1.0607547,0.7621673
02/11/2019 15:30,1.08986987,1.1996211,0.9985673
02/11/2019 16:00,1.17242206,1.2415677,1.1275145
02/11/2019 16:30,1.37627864,1.5092866,1.235721
02/11/2019 17:00,1.60455231,1.6823705,1.4778523
02/11/2019 17:30,1.63239333,1.6781075,1.5912628
02/11/2019 18:00,1.61655816,1.7009856,1.5519257
02/11/2019 18:30,1.530573127,1.5919048,1.4671671
02/11/2019 19:00,1.413428243,1.5074135,1.3170745
02/11/2019 19:30,1.28051928,1.3556861,1.1867063
02/11/2019 20:00,1.206753173,1.263483,1.1522915
02/11/2019 20:30,1.13664434,1.2111822,1.0849353
02/11/2019 21:00,1.092358333,1.1463641,1.0383767
02/11/2019 21:30,1.008323133,1.0681213,0.9639143
02/11/2019 22:00,0.955619353,1.0325928,0.90935844
02/11/2019 22:30,0.87738748,0.9281677,0.84641755
02/11/2019 23:00,0.865180004,0.8882026,0.83771276
02/11/2019 23:30,0.886732679,1.0102769,0.8396346
03/11/2019 00:00,1.127885063,1.1685706,1.101592
03/11/2019 00:30,1.08906113,1.1234026,1.057002
03/11/2019 01:00,1.06715158,1.1180875,0.9834664
03/11/2019 01:30,0.977301344,1.0482535,0.92051923
03/11/2019 02:00,0.919542081,0.9723889,0.8640337
03/11/2019 02:30,0.853526965,0.9038035,0.78753716
03/11/2019 03:00,0.773741052,0.81207484,0.73099333
03/11/2019 03:30,0.747177618,0.7975923,0.7121546
03/11/2019 04:00,0.710000127,0.73665875,0.6627567
03/11/2019 04:30,0.691222681,0.72569996,0.6518424
03/11/2019 05:00,0.676950412,0.7360692,0.64771694
03/11/2019 05:30,0.689932633,0.75673497,0.6408222
03/11/2019 06:00,0.73775153,0.80022067,0.69984376
03/11/2019 06:30,0.792575245,0.8503262,0.7319817
03/11/2019 07:00,0.784923206,0.8277199,0.7527401
03/11/2019 07:30,0.830571387,0.8690752,0.75973916
03/11/2019 08:00,0.757705746,0.8553169,0.6199588
03/11/2019 08:30,0.775333258,0.9095934,0.52333915
03/11/2019 09:00,0.274391062,0.83585995,-0.0967034
03/11/2019 09:30,0.165015891,0.7475361,-0.16720526
03/11/2019 10:00,-0.078833745,0.5917292,-0.44453564
03/11/2019 10:30,-0.306097334,0.7954546,-0.5500791
03/11/2019 11:00,-0.239273144,0.69876117,-0.6106123
03/11/2019 11:30,-0.064829229,0.8123097,-0.70938665
03/11/2019 12:00,-0.498671514,0.30574018,-0.8761496
03/11/2019 12:30,0.482579762,0.96874094,-0.652141
03/11/2019 13:00,0.286932084,0.8866841,-0.7105572
03/11/2019 13:30,0.435004322,1.0292388,-0.43513304
03/11/2019 14:00,0.595376917,0.8204414,-0.08990892
03/11/2019 14:30,0.687113478,0.929619,0.27087766
03/11/2019 15:00,0.917477124,1.1855412,0.47408038
03/11/2019 15:30,1.21608808,1.3244488,1.1132346
03/11/2019 16:00,1.416440193,1.5640031,1.3153652
03/11/2019 16:30,1.665974233,1.7876279,1.5559313
03/11/2019 17:00,1.813723927,1.8768657,1.7395148
03/11/2019 17:30,1.772220767,1.8374332,1.6976435
03/11/2019 18:00,1.710835103,1.7755392,1.6729234
03/11/2019 18:30,1.618489473,1.7095397,1.514549
03/11/2019 19:00,1.517513023,1.5646214,1.4825672
03/11/2019 19:30,1.433713263,1.5487301,1.376092
03/11/2019 20:00,1.335975137,1.3792769,1.2716115
03/11/2019 20:30,1.269862463,1.3209498,1.2230784
03/11/2019 21:00,1.174324697,1.2662947,1.1019967
03/11/2019 21:30,1.06412005,1.1551138,1.007226
03/11/2019 22:00,0.987050833,1.0454834,0.9360253
03/11/2019 22:30,0.872259945,0.9406822,0.7904038
03/11/2019 23:00,0.810565597,0.85855216,0.7739353
03/11/2019 23:30,0.820883687,0.92479,0.7818279
04/11/2019 00:00,1.076108163,1.1204617,1.0012404
04/11/2019 00:30,1.074905898,1.1340497,0.99044454
04/11/2019 01:00,1.013520153,1.0759137,0.9447749
04/11/2019 01:30,0.924741365,0.98501766,0.87679726
04/11/2019 02:00,0.886068349,0.93974984,0.8479101
04/11/2019 02:30,0.827723241,0.884475,0.7637248
04/11/2019 03:00,0.770166638,0.81472796,0.73050296
04/11/2019 03:30,0.739549251,0.80289286,0.7041771
04/11/2019 04:00,0.750631016,0.8071652,0.7083175
04/11/2019 04:30,0.728101368,0.78069854,0.6831732
04/11/2019 05:00,0.768091712,0.7997357,0.7232533
04/11/2019 05:30,0.8229466,0.89093864,0.7727551
04/11/2019 06:00,0.936807881,0.9686305,0.8414586
04/11/2019 06:30,1.072306057,1.2035004,0.95894635
04/11/2019 07:00,1.123462423,1.2184049,1.0544195
04/11/2019 07:30,1.049711863,1.1076202,0.90228915
04/11/2019 08:00,0.845011904,0.9541368,0.71408063
04/11/2019 08:30,0.450227393,0.92476755,0.11897099
04/11/2019 09:00,0.603660274,0.69151276,0.49455136
04/11/2019 09:30,0.78717181,0.8775857,0.65576094
04/11/2019 10:00,0.42515614,0.6995377,0.24161547
04/11/2019 10:30,0.369170093,0.6230148,-0.14170606
04/11/2019 11:00,-0.717825422,-0.63555163,-0.83190787
04/11/2019 11:30,-0.449228277,0.32586232,-0.8915831
04/11/2019 12:00,0.203498295,0.7613934,-0.68233114
04/11/2019 12:30,0.556024891,0.81353307,0.06609039
04/11/2019 13:00,0.193311184,0.47427577,-0.13148454
04/11/2019 13:30,0.387070838,0.56096447,0.044125285
04/11/2019 14:00,0.623705628,0.71320665,0.3991645
04/11/2019 14:30,0.674944252,0.87544835,0.38013995
04/11/2019 15:00,0.89409772,0.9896714,0.8154712
04/11/2019 15:30,1.003234529,1.0767813,0.9399905
04/11/2019 16:00,1.18087958,1.4249845,1.0177289
04/11/2019 16:30,1.536005727,1.6894431,1.413857
04/11/2019 17:00,1.704093947,1.7556447,1.6264836
04/11/2019 17:30,1.777036393,1.8441708,1.7076523
04/11/2019 18:00,1.755107647,1.8412265,1.6840633
04/11/2019 18:30,1.70672897,1.7923242,1.631299
04/11/2019 19:00,1.663332403,1.7360528,1.5636286
04/11/2019 19:30,1.518825073,1.6080639,1.436363
04/11/2019 20:00,1.412301913,1.472428,1.3515594
04/11/2019 20:30,1.293101007,1.3546395,1.2153814
04/11/2019 21:00,1.199447833,1.2733339,1.114723
04/11/2019 21:30,1.107273627,1.1395059,1.0696648
04/11/2019 22:00,0.983929307,1.0479795,0.93427134
04/11/2019 22:30,0.840956173,0.9218046,0.7857151
04/11/2019 23:00,0.828885,0.8616522,0.81176084
04/11/2019 23:30,0.817961717,0.9412519,0.7690497
05/11/2019 00:00,1.103867857,1.1488503,1.0364023
05/11/2019 00:30,1.065671943,1.1042247,1.0007278
05/11/2019 01:00,1.002772788,1.0322157,0.96014684
05/11/2019 01:30,0.907983331,0.94349724,0.86745614
05/11/2019 02:00,0.866442582,0.9230981,0.81639135
05/11/2019 02:30,0.796029499,0.82648903,0.75701225
05/11/2019 03:00,0.74321726,0.78058416,0.7088199
05/11/2019 03:30,0.737746656,0.7644747,0.7121054
05/11/2019 04:00,0.718046935,0.7605136,0.68430215
05/11/2019 04:30,0.708300905,0.7343284,0.6832992
05/11/2019 05:00,0.717282859,0.7644273,0.6833881
05/11/2019 05:30,0.784203359,0.81574947,0.7540939
05/11/2019 06:00,0.881325958,0.9468503,0.81206906
05/11/2019 06:30,1.044877845,1.1522881,0.9549151
05/11/2019 07:00,1.086967823,1.168196,1.0072399
05/11/2019 07:30,1.129775017,1.2091937,1.0599474
05/11/2019 08:00,1.008497772,1.0648015,0.9198626
05/11/2019 08:30,0.819084777,0.92689663,0.73476285
05/11/2019 09:00,0.783922652,0.84939563,0.7094199
05/11/2019 09:30,0.630899265,0.7882362,0.42027488
05/11/2019 10:00,0.642015532,0.8032394,0.2944871
05/11/2019 10:30,0.188649019,0.5065474,-0.6979251
05/11/2019 11:00,0.323421556,0.6991016,-0.32405642
05/11/2019 11:30,0.51074029,0.66776395,0.26265508
05/11/2019 12:00,-0.07722797,0.56734174,-0.84984106
05/11/2019 12:30,-0.074001977,0.66708446,-0.80863863
05/11/2019 13:00,0.321140461,0.62455994,-0.49050814
05/11/2019 13:30,0.798769394,0.9122168,0.5528408
05/11/2019 14:00,0.842851458,0.93010813,0.7919457
05/11/2019 14:30,0.831786328,0.87934625,0.7870385
05/11/2019 15:00,0.88447205,0.9257816,0.8418324
05/11/2019 15:30,0.855344265,1.0394921,0.7327655
05/11/2019 16:00,1.21542497,1.3583115,1.0570335
05/11/2019 16:30,1.485776353,1.6138688,1.3821694
05/11/2019 17:00,1.710535197,1.7787529,1.6119438
05/11/2019 17:30,1.696404617,1.737846,1.6405063
