time,value_max,value_min
2021-08-01 00:00:00,0.6510591,0.5931979
2021-08-01 00:30:00,0.59013295,0.55007905
2021-08-01 01:00:00,0.5667323,0.52439195
2021-08-01 01:30:00,0.5255776,0.47092324
2021-08-01 02:00:00,0.492315,0.45960897
2021-08-01 02:30:00,0.49128863,0.4653456
2021-08-01 03:00:00,0.49684802,0.44771838
2021-08-01 03:30:00,0.4842341,0.4508444
2021-08-01 04:00:00,0.48243588,0.45262563
2021-08-01 04:30:00,0.48463234,0.4439952
2021-08-01 05:00:00,0.48339492,0.43145964
2021-08-01 05:30:00,0.5215532,0.398454
2021-08-01 06:00:00,0.41865927,0.34693334
2021-08-01 06:30:00,0.3758903,0.1889728
2021-08-01 07:00:00,0.3378196,0.05101349
2021-08-01 07:30:00,0.3583061,-0.3311359
2021-08-01 08:00:00,0.7480869,-0.24940547
2021-08-01 08:30:00,0.64755577,0.06077614
2021-08-01 09:00:00,0.7445057,0.08133691
2021-08-01 09:30:00,0.71600634,-0.7358808
2021-08-01 10:00:00,0.70229244,0.4316047
2021-08-01 10:30:00,0.41032082,-0.16529661
2021-08-01 11:00:00,0.5110612,-0.5504977
2021-08-01 11:30:00,0.12520857,-0.6122735
2021-08-01 12:00:00,0.30589834,-1.3822287
2021-08-01 12:30:00,0.26041192,-1.4415241
2021-08-01 13:00:00,0.02640636,-1.4781667
2021-08-01 13:30:00,-0.79169804,-1.5040798
2021-08-01 14:00:00,-0.5834439,-1.4788531
2021-08-01 14:30:00,0.037910387,-1.1559197
2021-08-01 15:00:00,0.22330797,-0.35256276
2021-08-01 15:30:00,0.21328045,-1.071189
2021-08-01 16:00:00,0.5878778,-0.021655353
2021-08-01 16:30:00,0.39560133,-0.55754465
2021-08-01 17:00:00,0.29468063,0.025522703
2021-08-01 17:30:00,0.63892287,0.34669456
2021-08-01 18:00:00,0.800798,0.6104838
2021-08-01 18:30:00,0.92811406,0.79069996
2021-08-01 19:00:00,0.94534546,0.84319645
2021-08-01 19:30:00,0.93340635,0.8425286
2021-08-01 20:00:00,0.94503313,0.8713074
2021-08-01 20:30:00,0.9247699,0.8807242
2021-08-01 21:00:00,0.8892048,0.819973
2021-08-01 21:30:00,0.8464313,0.7171471
2021-08-01 22:00:00,0.7277586,0.63790405
