time,value_max,value_min
2019-10-16 13:00:00,1.6016494,1.4454136
2019-10-16 13:30:00,1.6184475,0.7137011
2019-10-16 14:00:00,0.87922925,0.6916445
2019-10-16 14:30:00,0.8791733,0.8019285
2019-10-16 15:00:00,1.026691,0.83718127
2019-10-16 15:30:00,1.0591244,0.99401444
2019-10-16 16:00:00,1.172287,1.0618594
2019-10-16 16:30:00,1.3000407,1.1443518
2019-10-16 17:00:00,1.3588867,1.2360275
2019-10-16 17:30:00,1.4347851,1.306384
2019-10-16 18:00:00,1.3816264,1.2635748
2019-10-16 18:30:00,1.3373303,1.1833072
2019-10-16 19:00:00,1.2516544,1.1653725
2019-10-16 19:30:00,1.2102325,1.0378206
2019-10-16 20:00:00,1.0951918,0.97827244
2019-10-16 20:30:00,1.0172937,0.9091416
2019-10-16 21:00:00,0.95754176,0.86945933
2019-10-16 21:30:00,0.94815934,0.8606471
2019-10-16 22:00:00,0.9436944,0.8901136
2019-10-16 22:30:00,0.8832558,0.8012123
2019-10-16 23:00:00,0.8629357,0.79919434
2019-10-16 23:30:00,0.893577,0.7736484
2019-10-17 00:00:00,1.2477537,0.98251337
2019-10-17 00:30:00,1.2869405,1.2260644
2019-10-17 01:00:00,1.2861257,1.2246897
2019-10-17 01:30:00,1.2363449,1.0997268
2019-10-17 02:00:00,1.1250238,1.0682516
2019-10-17 02:30:00,1.1677707,1.0839893
2019-10-17 03:00:00,1.1013329,0.99685895
2019-10-17 03:30:00,1.0441579,0.9415116
2019-10-17 04:00:00,0.97540647,0.9108701
2019-10-17 04:30:00,0.98446095,0.9385845
2019-10-17 05:00:00,1.117392,1.0035326
2019-10-17 05:30:00,1.215612,1.0737602
2019-10-17 06:00:00,1.3726803,1.1929197
2019-10-17 06:30:00,1.3918605,1.2931606
2019-10-17 07:00:00,1.3427415,1.2149851
2019-10-17 07:30:00,1.2244421,1.0902362
2019-10-17 08:00:00,1.1644667,1.0687075
2019-10-17 08:30:00,1.1069756,0.8078466
2019-10-17 09:00:00,1.06034568,0.7300478666666667
2019-10-17 09:30:00,1.01371576,0.6522491333333333
2019-10-17 10:00:00,0.96708584,0.5744504
2019-10-17 10:30:00,1.0483649,0.8234212
2019-10-17 11:00:00,0.9486408,0.79897666
2019-10-17 11:30:00,0.950502,0.7526705
2019-10-17 12:00:00,1.0016757,0.74256605
2019-10-17 12:30:00,1.0481464,0.80646956
2019-10-17 13:00:00,1.0849012,0.88024145
2019-10-17 13:30:00,1.0415487,0.97953457
2019-10-17 14:00:00,1.0528065,0.8754893
2019-10-17 14:30:00,1.0888454,0.94783074
2019-10-17 15:00:00,1.2074368,1.0756724
2019-10-17 15:30:00,1.2574728,1.1558174
2019-10-17 16:00:00,1.3481255,1.2683398
2019-10-17 16:30:00,1.3996284,1.3198844
2019-10-17 17:00:00,1.4540021,1.3405051
2019-10-17 17:30:00,1.4394912,1.3357549
