datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-01 00:00:00,10.682061767578148,0.0,-1.4525177,3.16892,103604.06,0.0063882284
2019-01-01 01:00:00,10.625024414062523,0.0,-1.7123976,3.075485,103609.54,0.0063844263
2019-01-01 02:00:00,10.556146240234398,0.0,-2.0411267,2.8978596,103633.12,0.0063909595
2019-01-01 03:00:00,10.435052490234398,0.0,-2.4749808,2.570711,103638.695,0.0064616017
2019-01-01 04:00:00,10.376367187500023,0.0,-2.9453638,2.1398392,103635.14,0.0065664733
2019-01-01 05:00:00,10.322961425781273,0.0,-3.2746184,1.6241659,103640.74,0.0065785586
2019-01-01 06:00:00,10.253839111328148,0.0,-3.4125774,1.1118305,103662.26,0.006531747
2019-01-01 07:00:00,10.168450927734398,0.0,-3.4321413,0.76949275,103704.65,0.006464517
2019-01-01 08:00:00,10.065789794921898,3.852539,-3.405985,0.5955112,103727.69,0.006394398
2019-01-01 09:00:00,9.979760742187523,39.1875,-3.3185792,0.66926575,103748.04,0.0063305376
2019-01-01 10:00:00,9.889581298828148,87.40625,-3.33493,0.86716616,103751.914,0.0062621664
2019-01-01 11:00:00,9.789270019531273,119.71875,-3.4273465,1.0624084,103733.266,0.006209366
2019-01-01 12:00:00,9.661645507812523,132.1875,-3.6103234,1.1753726,103698.62,0.006168723
2019-01-01 13:00:00,9.524530029296898,121.71875,-3.8074281,1.1381263,103674.01,0.006122692
2019-01-01 14:00:00,9.424066162109398,82.96875,-3.9567869,0.9549407,103678.95,0.0060844296
2019-01-01 15:00:00,9.427423095703148,32.390625,-3.958723,0.61599433,103703.84,0.0060846535
2019-01-01 16:00:00,9.572839355468773,1.2041016,-3.834006,0.2852894,103742.51,0.0060981065
2019-01-01 17:00:00,9.728692626953148,0.0,-3.64566,0.049844354,103786.87,0.006172592
2019-01-01 18:00:00,10.012597656250023,0.0,-3.3873227,-0.12705475,103825.12,0.006299014
2019-01-01 19:00:00,10.261407470703148,0.0,-3.1529222,-0.23159537,103854.88,0.006448568
2019-01-01 20:00:00,10.458154296875023,0.0,-2.9972672,-0.31758758,103872.25,0.0065955585
2019-01-01 21:00:00,10.637933349609398,0.0,-2.982237,-0.38862982,103885.28,0.006736899
2019-01-01 22:00:00,10.637414550781273,0.0,-3.0351317,-0.56655097,103895.055,0.0068456004
2019-01-01 23:00:00,10.619226074218773,0.0,-3.0038404,-0.9279537,103903.89,0.006905431
2019-01-02 00:00:00,10.581903076171898,0.0,-2.8675747,-1.3089547,103919.71,0.0068741143
2019-01-02 01:00:00,10.525048828125023,0.0,-2.641574,-1.6444337,103948.2,0.0067595835
2019-01-02 02:00:00,10.433068847656273,0.0,-2.2851582,-2.0887327,103976.81,0.006636658
2019-01-02 03:00:00,10.270928955078148,0.0,-1.8015381,-2.692666,103991.875,0.006529107
