datetime,temperature,solar_irradiance,windspeed_north,windspeed_east,pressure,spec_humidity
2019-01-01 00:00:00,5.373468017578148,0.0,-0.84448546,1.937963,102484.06,0.0053449087
2019-01-01 01:00:00,5.314477539062523,0.0,-1.1295729,1.9036099,102505.54,0.005415493
2019-01-01 02:00:00,5.849114990234398,0.0,-1.2420545,1.650301,102545.12,0.0053896015
2019-01-01 03:00:00,5.751458740234398,0.0,-1.2254691,1.5086992,102550.695,0.0053782277
2019-01-01 04:00:00,5.791406250000023,0.0,-1.0804956,1.4992143,102531.14,0.0053915465
2019-01-01 05:00:00,5.933312988281273,0.0,-0.86043376,1.58608,102520.74,0.0053807436
2019-01-01 06:00:00,5.891534423828148,0.0,-0.70151776,1.8286273,102526.26,0.0054121334
2019-01-01 07:00:00,6.071771240234398,0.0,-0.8025027,2.1523051,102536.65,0.0055299164
2019-01-01 08:00:00,6.486688232421898,3.5976562,-1.0795691,2.650687,102543.69,0.005749714
2019-01-01 09:00:00,7.288354492187523,22.796875,-1.2773194,2.916336,102548.04,0.005943346
2019-01-01 10:00:00,7.717706298828148,47.21875,-1.4565119,2.9350371,102559.914,0.006117208
2019-01-01 11:00:00,8.121301269531273,65.3125,-1.5640651,2.912506,102549.266,0.00628566
2019-01-01 12:00:00,8.493676757812523,85.0625,-1.75339,2.734943,102522.62,0.006441474
2019-01-01 13:00:00,8.864373779296898,79.0625,-1.7522525,2.3646886,102514.01,0.0065690116
2019-01-01 14:00:00,9.006097412109398,54.453125,-1.7810057,1.8030852,102526.95,0.0065860623
2019-01-01 15:00:00,8.786798095703148,15.6796875,-1.6462232,1.0522736,102559.84,0.0064184396
2019-01-01 16:00:00,7.924401855468773,0.0021619797,-1.809592,0.4962269,102614.51,0.0062011033
2019-01-01 17:00:00,7.646661376953148,0.0,-2.0440974,0.0012336662,102690.87,0.0058750454
2019-01-01 18:00:00,6.950097656250023,0.0,-2.2007992,-0.43723541,102769.12,0.005455966
2019-01-01 19:00:00,5.833673095703148,0.0,-2.119719,-0.7948278,102838.88,0.005027593
2019-01-01 20:00:00,4.231591796875023,0.0,-1.9709,-1.0670993,102880.25,0.004749245
